Grupo,test,TCNO,VG,TCNOTEXT,VGTEXT,Output,Decision.TCNO,Decision.VG,Decision
GrupoB,w26,1,176,NA, 160 16 0 0 0 ,NA,FALSE,FALSE,FALSE
GrupoB,w27,1,118,NA, 102 16 0 0 0 ,NA,FALSE,FALSE,FALSE
GrupoB,w28,0,18,NA, 18 0 0 0 0 ,NA,TRUE,FALSE,FALSE
GrupoB,w29,0,8,NA, 8 0 0 0 0 ,NA,TRUE,FALSE,FALSE
GrupoB,w30,1,30,NA, 30 0 0 0 0 ,NA,FALSE,FALSE,FALSE
GrupoB,w31,0,28,NA, 28 0 0 0 0 ,NA,TRUE,FALSE,FALSE
GrupoB,w32,0,36,NA, 36 0 0 0 0 ,NA,TRUE,FALSE,FALSE
GrupoB,w33,0,185,NA, 91 94 0 0 0 ,NA,TRUE,FALSE,FALSE
GrupoB,w34,0,185,NA, 91 94 0 0 0 ,NA,TRUE,FALSE,FALSE
GrupoB,w35,0,48,NA, 48 0 0 0 0 ,NA,TRUE,FALSE,FALSE
GrupoB,w36,0,48,NA, 48 0 0 0 0 ,NA,TRUE,FALSE,FALSE
GrupoB,w37,0,48,NA, 48 0 0 0 0 ,NA,TRUE,FALSE,FALSE
GrupoB,w38,0,48,NA, 48 0 0 0 0 ,NA,TRUE,FALSE,FALSE
GrupoB,w39,0,72,NA, 72 0 0 0 0 ,NA,TRUE,FALSE,FALSE
GrupoB,w40,0,28,NA, 28 0 0 0 0 ,NA,TRUE,FALSE,FALSE
GrupoB,w41,0,28,NA, 28 0 0 0 0 ,NA,TRUE,FALSE,FALSE
GrupoB,w42,0,28,NA, 28 0 0 0 0 ,NA,TRUE,FALSE,FALSE
GrupoB,w43,0,28,NA, 28 0 0 0 0 ,NA,TRUE,FALSE,FALSE
GrupoB,w44,0,28,NA, 28 0 0 0 0 ,NA,TRUE,FALSE,FALSE
GrupoB,w45,0,28,NA, 28 0 0 0 0 ,NA,TRUE,FALSE,FALSE
GrupoB,w46,0,36,NA, 36 0 0 0 0 ,NA,TRUE,FALSE,FALSE
GrupoB,w47,0,36,NA, 36 0 0 0 0 ,NA,TRUE,FALSE,FALSE
GrupoB,w48,0,36,NA, 36 0 0 0 0 ,NA,TRUE,FALSE,FALSE
GrupoB,w49,0,36,NA, 36 0 0 0 0 ,NA,TRUE,FALSE,FALSE
GrupoB,w50,0,76,NA, 70 6 0 0 0 ,NA,TRUE,FALSE,FALSE
GrupoB,w51,0,76,NA, 70 6 0 0 0 ,NA,TRUE,FALSE,FALSE
GrupoB,w52,0,76,NA, 70 6 0 0 0 ,NA,TRUE,FALSE,FALSE
GrupoB,w53,0,76,NA, 70 6 0 0 0 ,NA,TRUE,FALSE,FALSE
GrupoB,w54,0,36,NA, 36 0 0 0 0 ,NA,TRUE,FALSE,FALSE
GrupoB,w55,139,-1,NA,NA,Segmentation fault,FALSE,FALSE,FALSE
GrupoB,w56,0,76,NA, 70 6 0 0 0 ,NA,TRUE,FALSE,FALSE
GrupoB,w57,0,76,NA, 70 6 0 0 0 ,NA,TRUE,FALSE,FALSE
GrupoB,w58,0,34,NA, 34 0 0 0 0 ,NA,TRUE,FALSE,FALSE
GrupoB,w59,0,34,NA, 34 0 0 0 0 ,NA,TRUE,FALSE,FALSE
GrupoB,w60,0,34,NA, 34 0 0 0 0 ,NA,TRUE,FALSE,FALSE
GrupoB,w61,0,48,NA, 48 0 0 0 0 ,NA,TRUE,FALSE,FALSE
GrupoB,w62,0,48,NA, 48 0 0 0 0 ,NA,TRUE,FALSE,FALSE
GrupoB,w63,1,297,NA, 70 186 0 41 0 ,NA,FALSE,FALSE,FALSE
GrupoB,w64,1,280,NA, 60 186 0 34 0 ,NA,FALSE,FALSE,FALSE
GrupoB,w65,1,276,NA, 264 12 0 0 0 ,NA,FALSE,FALSE,FALSE
GrupoB,w66,1,272,NA, 264 8 0 0 0 ,NA,FALSE,FALSE,FALSE
GrupoB,w67,1,276,NA, 264 12 0 0 0 ,NA,FALSE,FALSE,FALSE
GrupoB,w68,1,260,NA, 236 24 0 0 0 ,NA,FALSE,FALSE,FALSE
GrupoB,w69,0,4,NA, 4 0 0 0 0 ,NA,TRUE,FALSE,FALSE
GrupoB,w70,1,559,NA, 116 407 0 36 0 ,NA,FALSE,FALSE,FALSE
GrupoB,w71,1,235,NA, 137 98 0 0 0 ,NA,FALSE,FALSE,FALSE
GrupoB,w72,0,50,NA, 50 0 0 0 0 ,NA,TRUE,FALSE,FALSE
GrupoB,w73,0,48,NA, 48 0 0 0 0 ,NA,TRUE,FALSE,FALSE
GrupoB,w74,0,253,NA, 155 98 0 0 0 ,NA,TRUE,FALSE,FALSE
GrupoB,w75,1,157,NA, 139 18 0 0 0 ,NA,FALSE,FALSE,FALSE
GrupoB,w76,0,334,NA, 236 98 0 0 0 ,NA,TRUE,FALSE,FALSE
GrupoB,w77,0,69,NA, 63 6 0 0 0 ,NA,TRUE,FALSE,FALSE
GrupoB,w78,0,77,NA, 71 6 0 0 0 ,NA,TRUE,FALSE,FALSE
GrupoC,w00,0,0,NA,no leaks are possible,NA,TRUE,TRUE,TRUE
GrupoC,w01,0,0,NA,no leaks are possible,NA,TRUE,TRUE,TRUE
GrupoC,w02,0,0,NA,no leaks are possible,NA,TRUE,TRUE,TRUE
GrupoC,w03,0,0,NA,no leaks are possible,NA,TRUE,TRUE,TRUE
GrupoC,w04,0,0,NA,no leaks are possible,NA,TRUE,TRUE,TRUE
GrupoC,w05,0,0,NA,no leaks are possible,NA,TRUE,TRUE,TRUE
GrupoC,w06,0,0,NA,no leaks are possible,NA,TRUE,TRUE,TRUE
GrupoC,w07,0,0,NA,no leaks are possible,NA,TRUE,TRUE,TRUE
GrupoC,w08,0,0,NA,no leaks are possible,NA,TRUE,TRUE,TRUE
GrupoC,w09,0,0,NA,no leaks are possible,NA,TRUE,TRUE,TRUE
GrupoC,w10,0,0,NA,no leaks are possible,NA,TRUE,TRUE,TRUE
GrupoC,w11,0,0,NA,no leaks are possible,NA,TRUE,TRUE,TRUE
GrupoC,w12,0,0,NA,no leaks are possible,NA,TRUE,TRUE,TRUE
GrupoC,w13,0,0,NA,no leaks are possible,NA,TRUE,TRUE,TRUE
GrupoC,w14,0,0,NA,no leaks are possible,NA,TRUE,TRUE,TRUE
GrupoC,w15,0,0,NA,no leaks are possible,NA,TRUE,TRUE,TRUE
GrupoC,w16,0,0,NA,no leaks are possible,NA,TRUE,TRUE,TRUE
GrupoC,w17,0,0,NA,no leaks are possible,NA,TRUE,TRUE,TRUE
GrupoC,w18,0,0,NA,no leaks are possible,NA,TRUE,TRUE,TRUE
GrupoC,w19,0,0,NA,no leaks are possible,NA,TRUE,TRUE,TRUE
GrupoC,w20,0,0,NA,no leaks are possible,NA,TRUE,TRUE,TRUE
GrupoC,w21,0,0,NA,no leaks are possible,NA,TRUE,TRUE,TRUE
GrupoC,w22,0,0,NA,no leaks are possible,NA,TRUE,TRUE,TRUE
GrupoC,w23,0,0,NA,no leaks are possible,NA,TRUE,TRUE,TRUE
GrupoC,w24,0,0,NA,no leaks are possible,NA,TRUE,TRUE,TRUE
GrupoC,w25,0,0,NA,no leaks are possible,NA,TRUE,TRUE,TRUE
GrupoC,w26,0,0,NA,no leaks are possible,NA,TRUE,TRUE,TRUE
GrupoC,w27,0,0,NA,no leaks are possible,NA,TRUE,TRUE,TRUE
GrupoC,w28,0,0,NA,no leaks are possible,NA,TRUE,TRUE,TRUE
GrupoC,w29,0,0,NA,no leaks are possible,NA,TRUE,TRUE,TRUE
GrupoC,w30,0,0,NA,no leaks are possible,NA,TRUE,TRUE,TRUE
GrupoC,w31,0,0,NA,no leaks are possible,NA,TRUE,TRUE,TRUE
GrupoC,w32,0,0,NA,no leaks are possible,NA,TRUE,TRUE,TRUE
GrupoC,w33,0,0,NA,no leaks are possible,NA,TRUE,TRUE,TRUE
GrupoC,w34,0,0,NA,no leaks are possible,NA,TRUE,TRUE,TRUE
GrupoC,w35,0,0,NA,no leaks are possible,NA,TRUE,TRUE,TRUE
GrupoC,w36,0,0,NA,no leaks are possible,NA,TRUE,TRUE,TRUE
GrupoC,w37,0,0,NA,no leaks are possible,NA,TRUE,TRUE,TRUE
GrupoC,w38,0,0,NA,no leaks are possible,NA,TRUE,TRUE,TRUE
GrupoC,w39,0,0,NA,no leaks are possible,NA,TRUE,TRUE,TRUE
GrupoC,w40,0,0,NA,no leaks are possible,NA,TRUE,TRUE,TRUE
GrupoC,w41,0,0,NA,no leaks are possible,NA,TRUE,TRUE,TRUE
GrupoC,w42,0,0,NA,no leaks are possible,NA,TRUE,TRUE,TRUE
GrupoC,w43,0,0,NA,no leaks are possible,NA,TRUE,TRUE,TRUE
GrupoC,w44,0,0,NA,no leaks are possible,NA,TRUE,TRUE,TRUE
GrupoC,w45,0,0,NA,no leaks are possible,NA,TRUE,TRUE,TRUE
GrupoC,w46,0,0,NA,no leaks are possible,NA,TRUE,TRUE,TRUE
GrupoC,w47,0,0,NA,no leaks are possible,NA,TRUE,TRUE,TRUE
GrupoC,w48,0,0,NA,no leaks are possible,NA,TRUE,TRUE,TRUE
GrupoC,w49,0,0,NA,no leaks are possible,NA,TRUE,TRUE,TRUE
GrupoC,w50,0,0,NA,no leaks are possible,NA,TRUE,TRUE,TRUE
GrupoC,w51,0,0,NA,no leaks are possible,NA,TRUE,TRUE,TRUE
GrupoC,w52,0,0,NA,no leaks are possible,NA,TRUE,TRUE,TRUE
GrupoC,w53,0,0,NA,no leaks are possible,NA,TRUE,TRUE,TRUE
GrupoC,w54,0,0,NA,no leaks are possible,NA,TRUE,TRUE,TRUE
GrupoC,w55,0,0,NA,no leaks are possible,NA,TRUE,TRUE,TRUE
GrupoC,w56,0,0,NA,no leaks are possible,NA,TRUE,TRUE,TRUE
GrupoC,w57,0,0,NA,no leaks are possible,NA,TRUE,TRUE,TRUE
GrupoC,w58,0,0,NA,no leaks are possible,NA,TRUE,TRUE,TRUE
GrupoC,w59,0,0,NA,no leaks are possible,NA,TRUE,TRUE,TRUE
GrupoC,w60,0,0,NA,no leaks are possible,NA,TRUE,TRUE,TRUE
GrupoC,w61,0,0,NA,no leaks are possible,NA,TRUE,TRUE,TRUE
GrupoC,w62,0,0,NA,no leaks are possible,NA,TRUE,TRUE,TRUE
GrupoC,w63,0,0,NA,no leaks are possible,NA,TRUE,TRUE,TRUE
GrupoC,w64,0,0,NA,no leaks are possible,NA,TRUE,TRUE,TRUE
GrupoC,w65,0,0,NA,no leaks are possible,NA,TRUE,TRUE,TRUE
GrupoC,w66,0,0,NA,no leaks are possible,NA,TRUE,TRUE,TRUE
GrupoC,w67,0,0,NA,no leaks are possible,NA,TRUE,TRUE,TRUE
GrupoC,w68,1,-1,NA,NA,"line 3 - syntax error, unexpected TK_LIT_INT ",FALSE,FALSE,FALSE
GrupoC,w69,0,0,NA,no leaks are possible,NA,TRUE,TRUE,TRUE
GrupoC,w70,0,0,NA,no leaks are possible,NA,TRUE,TRUE,TRUE
GrupoC,w71,0,0,NA,no leaks are possible,NA,TRUE,TRUE,TRUE
GrupoC,w72,0,0,NA,no leaks are possible,NA,TRUE,TRUE,TRUE
GrupoC,w73,0,0,NA,no leaks are possible,NA,TRUE,TRUE,TRUE
GrupoC,w74,0,0,NA,no leaks are possible,NA,TRUE,TRUE,TRUE
GrupoC,w75,0,0,NA,no leaks are possible,NA,TRUE,TRUE,TRUE
GrupoC,w76,0,0,NA,no leaks are possible,NA,TRUE,TRUE,TRUE
GrupoC,w77,0,0,NA,no leaks are possible,NA,TRUE,TRUE,TRUE
GrupoC,w78,0,0,NA,no leaks are possible,NA,TRUE,TRUE,TRUE
GrupoD,w00,0,0,NA,no leaks are possible,NA,TRUE,TRUE,TRUE
GrupoD,w01,1,76,NA, 72 0 0 4 0 ,NA,FALSE,FALSE,FALSE
GrupoD,w02,1,1563,NA, 119 1440 0 4 0 ,NA,FALSE,FALSE,FALSE
GrupoD,w03,1,697,NA, 160 533 0 4 0 ,NA,FALSE,FALSE,FALSE
